City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,tonj,7.2737,28.6822,23.510000000000048,88,97,1.96,SS,1690314183
67,yung shue wan,22.2333,114.1167,31.430000000000007,77,63,5.02,HK,1690314183
68,kimbe,-5.5502,150.1429,25.110000000000014,79,100,3.65,PG,1690314184
69,hobyo,5.3505,48.5268,24.80000000000001,84,52,11.67,SO,1690313917
70,urzhar,47.093,81.6294,23.379999999999995,37,94,3.53,KZ,1690314185
71,harrisburg,40.2737,-76.8844,30.30000000000001,56,0,5.66,US,1690313918
72,keflavik,64.0049,-22.5624,14.240000000000009,67,75,4.12,IS,1690313914
73,bethel,41.3712,-73.414,29.27000000000004,69,75,3.6,US,1690314158
74,nar'yan-mar,67.6713,53.087,15.720000000000027,74,21,3.91,RU,1690313684
75,dunedin,-45.8742,170.5036,6.0,69,68,5.36,NZ,1690313498
76,basco,20.4487,121.9702,28.510000000000048,87,100,27.21,PH,1690314117
77,arraial do cabo,-22.9661,-42.0278,24.980000000000018,78,0,8.75,BR,1690313980
78,tangalle,6.024,80.7911,25.04000000000002,89,100,3.96,LK,1690314187
79,puerto natales,-51.7236,-72.4875,0.34000000000003183,79,8,2.26,CL,1690314188
80,whitehorse,60.7161,-135.0538,17.79000000000002,72,100,2.06,CA,1690313885
81,adamstown,-25.066,-130.1015,22.80000000000001,88,99,16.87,PN,1690314188
82,messaad,34.1543,3.5031,34.129999999999995,11,33,3.44,DZ,1690314189
83,astrakhan,46.3497,48.0408,21.930000000000007,73,0,1.0,RU,1690314189
84,vila velha,-20.3297,-40.2925,22.970000000000027,85,100,3.6,BR,1690313505
85,znamenskoye,57.1281,73.8282,14.170000000000016,97,11,2.52,RU,1690314189
86,lihue,21.9789,-159.3672,27.77000000000004,76,100,6.69,US,1690314190
87,bredasdorp,-34.5322,20.0403,7.390000000000043,75,0,0.87,ZA,1690314049
88,saint-denis,48.9167,2.3333,17.340000000000032,72,0,2.57,FR,1690314190
89,necochea,-38.5473,-58.7368,10.390000000000043,73,100,4.07,AR,1690313405
90,ujae,8.9322,165.7642,28.370000000000005,79,97,6.56,MH,1690314069
91,lompoc,34.6391,-120.4579,38.160000000000025,57,40,2.06,US,1690314190
92,nanpiao,41.0982,120.7479,21.29000000000002,93,0,1.42,CN,1690313927
93,prince rupert,54.3161,-130.3201,14.050000000000011,96,100,4.63,CA,1690313406
94,kapa'a,22.0752,-159.319,28.180000000000007,83,100,6.69,US,1690313466
95,mitrofanovka,49.9708,39.6939,19.77000000000004,53,51,3.13,RU,1690314192
96,novokuznetsk,53.7557,87.1099,18.439999999999998,82,100,4.4,RU,1690314192
97,kharan,28.5833,65.4167,29.840000000000032,57,100,3.24,PK,1690314192
98,kodiak,57.79,-152.4072,13.730000000000018,82,0,2.06,US,1690314192
99,hermanus,-34.4187,19.2345,11.390000000000043,69,0,2.8,ZA,1690313898
